@relation articlefeatures

@ATTRIBUTE "pos_2gram_IN_JJ" NUMERIC
@ATTRIBUTE "pos_2gram_NNP_NNS" NUMERIC
@ATTRIBUTE "pos_2gram_IN_NN" NUMERIC
@ATTRIBUTE "pos_3gram_IN_NNP_NNP" NUMERIC
@ATTRIBUTE "pos_3gram_NNP_NNP_VBZ" NUMERIC
@ATTRIBUTE "description_title_CharacterRatio" NUMERIC
@ATTRIBUTE "caption_title_CharacterRatio" NUMERIC
@ATTRIBUTE "title_caption_CharacterDiff" NUMERIC
@ATTRIBUTE "title_keyword_CharacterDiff" NUMERIC
@ATTRIBUTE "description_LenCharacter" NUMERIC
@ATTRIBUTE "caption_LenCharacter" NUMERIC
@ATTRIBUTE "keyword_LenCharacter" NUMERIC
@ATTRIBUTE "title_LenCharacter" NUMERIC
@ATTRIBUTE "pos_2gram_PRP_VBP" NUMERIC
@ATTRIBUTE "pos_2gram_NN_IN" NUMERIC
@ATTRIBUTE "pos_2gram_NNP_VBZ" NUMERIC
@ATTRIBUTE "startsPunctuation" {True, False}
@ATTRIBUTE "averageLengthWords" NUMERIC
@ATTRIBUTE "countLongestWord" NUMERIC
@ATTRIBUTE "startsAdverb" {True, False}
@ATTRIBUTE "hasThirdPronoun" {True, False}
@ATTRIBUTE "hasDemonstrative" {True, False}
@ATTRIBUTE "wh_start" {True, False}
@ATTRIBUTE "pos_3gram_NNP_NNP_NNP" NUMERIC
@ATTRIBUTE "pos_2gram_NNP_NNP" NUMERIC
@ATTRIBUTE "cal_pos_1grams_tag_list" NUMERIC
@ATTRIBUTE "targetTitle_linsear_write_formula" NUMERIC
@ATTRIBUTE "targetTitle_gunning_fog" NUMERIC
@ATTRIBUTE "targetTitle_coleman_liau_index" NUMERIC
@ATTRIBUTE "targetTitleCountWords" NUMERIC
@ATTRIBUTE "postTitle_char_count" NUMERIC
@ATTRIBUTE "targetTitle_char_count" NUMERIC
@ATTRIBUTE "targetDescription_char_count" NUMERIC
@ATTRIBUTE "targetKeywords_char_count" NUMERIC
@ATTRIBUTE "targetCaptions_char_count" NUMERIC
@ATTRIBUTE "targetParagraphs_char_count" NUMERIC
@ATTRIBUTE "postText_word_count" NUMERIC
@ATTRIBUTE "targetTitle_word_count" NUMERIC
@ATTRIBUTE "targetDescription_word_count" NUMERIC
@ATTRIBUTE "targetKeywords_word_count" NUMERIC
@ATTRIBUTE "targetCaptions_word_count" NUMERIC
@ATTRIBUTE "targetParagraphs_word_count" NUMERIC
@ATTRIBUTE "postText_word_frequency" NUMERIC
@ATTRIBUTE "targetDescription_word_frequency" NUMERIC
@ATTRIBUTE "targetCaptions_word_frequency" NUMERIC
@ATTRIBUTE "targetParagraphs_word_frequency" NUMERIC
@ATTRIBUTE "formal_word_ratio" NUMERIC
@ATTRIBUTE "tags_amount" NUMERIC
@ATTRIBUTE label {0,1}

@DATA
0,0,0,0,0,1.7864077669902914,0.0970873786407767,93,25,184,10,78,103,0,0,1,False,5.117647058823529,10,False,False,False,False,0,0,1,6.5,20.564705882352943,12.12,17,63,87,154,66,2330,3376,13,17,31,13,472,721,0.6875,0.18421052631578946,0.07865168539325842,0.06463878326996197,0.8333333333333334,0,1
0,1,0,0,0,3.074074074074074,0.6666666666666666,18,-75,166,36,129,54,0,0,0,False,5.875,8,False,False,False,False,1,2,3,3.0,30.200000000000003,14.46,8,87,47,140,111,1879,364,15,8,27,19,248,72,0.047619047619047616,0.0,0.0,0.0375,0.7333333333333333,1,1
0,0,0,1,0,2.3181818181818183,0.045454545454545456,63,66,153,3,0,66,0,0,0,False,5.7,9,False,False,False,False,0,2,5,3.5,22.0,14.3,10,78,57,132,0,362,3421,13,11,24,-1,77,703,-1,-1,-1,-1,0.8461538461538461,1,0
0,0,0,1,0,1.8387096774193548,0.06451612903225806,58,-70,114,4,132,62,0,1,0,False,4.7272727272727275,6,False,False,False,True,0,1,2,4.5,10.036363636363639,8.97,11,52,52,100,106,875,8954,11,11,17,18,191,1897,1.0909090909090908,0.5652173913043478,0.6759259259259259,0.7111319868482856,0.9,0,1
0,0,0,0,0,3.676470588235294,0.08823529411764706,31,-36,125,3,70,34,0,0,0,False,4.833333333333333,7,False,False,False,False,0,0,0,2.0,17.73333333333333,7.18,6,76,29,103,54,177,4810,16,6,22,11,37,975,0.05555555555555555,0.08333333333333333,0.04878048780487805,0.009795191451469279,0.875,0,0
1,0,0,0,0,0.0,0.0,64,64,0,0,0,64,0,0,0,False,4.909090909090909,8,False,False,True,False,1,2,0,5.5,17.30909090909091,10.54,11,54,54,-1,0,-1,2990,12,12,-1,-1,-1,720,-1,-1,-1,-1,0.7272727272727273,0,0
0,0,0,0,0,2.026315789473684,0.0,76,10,154,0,66,76,0,0,0,False,6.7,11,False,False,False,False,3,5,2,4.5,30.0,20.1,10,77,67,123,52,-1,4901,18,10,27,10,-1,1015,0.0,0.0,-1,0.00608695652173913,0.7058823529411765,0,1
1,0,0,0,0,2.5522388059701493,0.0,67,67,171,0,0,67,0,1,0,False,5.090909090909091,12,False,False,False,False,0,0,0,4.5,20.94545454545455,11.06,11,57,56,143,0,-1,628,11,11,29,-1,-1,131,-1,-1,-1,-1,0.875,0,1
0,0,0,0,1,2.1875,0.25,48,-97,140,16,161,64,0,0,1,False,4.0,9,False,False,False,False,1,3,4,6.5,16.8,6.95,12,70,52,115,142,882,271,15,12,28,20,95,53,0.05555555555555555,0.0625,0.0,0.03278688524590164,0.6923076923076923,2,1
0,0,1,0,1,1.9873417721518987,0.012658227848101266,78,79,157,1,0,79,0,1,1,False,4.642857142857143,8,False,False,False,False,0,1,4,6.0,19.02857142857143,9.04,14,67,65,135,0,145,3624,14,14,23,-1,23,701,-1,-1,-1,-1,0.8461538461538461,1,1
1,1,0,0,0,1.8873239436619718,0.014084507042253521,70,24,134,1,47,71,0,1,0,False,6.2,10,False,False,False,False,0,0,1,2.5,26.0,17.2,10,62,62,113,41,13,1975,10,10,24,7,2,379,0.0,0.041666666666666664,0.0,0.002364066193853428,1.0,0,1
0,1,0,0,0,2.191780821917808,0.0136986301369863,72,30,160,1,43,73,0,0,0,False,5.166666666666667,9,False,False,False,False,0,0,1,5.5,23.46666666666667,11.82,12,55,62,134,33,7,1799,15,12,27,5,1,377,1.8666666666666667,1.8620689655172413,4.0,1.829683698296837,0.6666666666666666,0,1
0,0,0,0,0,0.4675324675324675,0.0,77,-31,36,0,108,77,0,0,0,False,5.5,12,False,False,False,False,0,1,2,5.5,30.13333333333334,13.73,12,68,66,31,94,-1,5747,12,12,5,15,-1,1179,0.14285714285714285,0.125,-1,0.03015075376884422,0.8,0,1
0,0,1,0,0,1.2222222222222223,0.026143790849673203,149,132,187,4,21,153,0,0,1,False,5.695652173913044,13,False,False,False,False,0,1,4,9.0,25.11304347826087,16.08,23,73,131,159,14,87,3968,14,23,31,4,4,780,2.0,1.8529411764705883,7.0,1.774804905239688,0.9166666666666666,0,1
1,0,0,0,0,1.1515151515151516,0.030303030303030304,64,-20,76,2,86,66,0,0,0,False,5.7,8,False,False,False,False,0,0,1,4.0,14.0,14.3,10,58,57,61,72,129,2788,10,10,14,6,23,555,0.0,0.0,0.0,0.0,1.0,0,0
0,0,1,0,0,1.4285714285714286,0.014285714285714285,69,51,100,1,19,70,0,1,0,False,4.071428571428571,8,False,False,False,False,0,2,9,5.5,16.171428571428574,5.73,14,121,57,83,15,141,3616,21,14,18,4,22,728,0.03125,0.0,0.041666666666666664,0.012285012285012284,0.6666666666666666,3,1
0,0,0,1,1,1.9104477611940298,0.014925373134328358,66,12,128,1,55,67,0,0,1,False,6.555555555555555,11,False,False,False,False,0,2,4,3.5,18.933333333333334,18.99,9,59,59,110,47,14,3763,9,9,21,9,2,865,0.1111111111111111,0.043478260869565216,0.5,0.005434782608695652,0.5555555555555556,0,1
1,0,0,0,0,1.3617021276595744,0.16312056737588654,118,47,192,23,94,141,1,0,0,False,4.916666666666667,9,False,False,False,False,0,0,0,4.5,16.8,10.37,24,58,118,162,80,1803,1450,12,24,31,15,333,286,0.5384615384615384,0.23529411764705882,0.17941952506596306,0.10835913312693499,0.75,0,1
0,0,0,0,0,2.6875,0.041666666666666664,46,-10,129,2,58,48,0,0,0,False,6.0,12,False,False,False,False,0,0,0,3.0,21.942857142857143,14.86,7,42,42,111,47,211,6292,7,7,22,8,38,1215,0.0,0.12,0.0,0.02795698924731183,0.8333333333333334,0,0
0,0,0,0,0,2.375,0.017857142857142856,55,56,133,1,0,56,0,1,0,False,4.7,10,False,False,False,False,0,0,3,4.0,14.0,8.5,10,83,47,109,0,37,1263,15,10,26,-1,9,275,-1,-1,-1,-1,0.7142857142857143,1,0
0,0,0,0,0,1.08,0.0,75,30,81,0,45,75,0,0,0,False,5.333333333333333,11,False,False,True,False,0,0,4,2.25,17.73333333333333,10.08,12,74,64,68,37,-1,5117,14,16,14,7,-1,1049,0.0,0.0,-1,0.0,0.7142857142857143,1,1
0,0,0,1,0,2.2280701754385963,0.0,57,57,127,0,0,57,0,0,1,False,4.8,7,False,False,False,False,2,3,0,4.0,14.0,9.08,10,38,48,106,0,-1,424,8,10,22,-1,-1,90,-1,-1,-1,-1,0.75,0,0
0,0,0,0,0,0.8269230769230769,0.0,52,52,43,0,0,52,0,0,0,False,5.625,9,False,False,False,False,0,0,3,2.5,33.371428571428574,17.35,7,70,47,38,0,-1,424,11,7,6,-1,-1,77,-1,-1,-1,-1,0.8,1,0
0,0,1,0,0,2.757575757575758,15.909090909090908,-492,-37,91,525,70,33,0,1,0,False,5.8,11,False,False,False,False,0,0,4,0.5,20.0,11.92,5,48,29,74,56,101345,2954,8,5,17,8,12910,634,0.1,0.05,0.0006386715631486508,0.0026560424966799467,0.75,1,1
0,1,0,0,0,2.161764705882353,0.029411764705882353,66,-174,147,2,242,68,0,1,1,False,5.2727272727272725,10,False,False,True,False,0,1,4,4.0,17.30909090909091,12.1,11,54,58,123,210,198,4520,10,11,27,31,37,946,0.18181818181818182,0.0,0.045454545454545456,0.010880316518298714,0.8,0,1
0,0,0,1,0,0.0,0.0,64,64,0,0,0,64,0,0,0,False,3.642857142857143,6,False,True,True,False,1,4,0,6.0,13.314285714285715,3.65,14,54,51,-1,0,-1,1010,15,14,-1,-1,-1,240,-1,-1,-1,-1,0.9090909090909091,0,1
0,0,0,0,0,2.746031746031746,0.09523809523809523,57,-128,173,6,191,63,0,0,1,False,6.875,9,False,False,False,False,1,4,5,2.0,35.2,20.26,8,57,55,148,165,254,6392,10,10,28,25,47,1307,0.0,0.0,0.02040816326530612,0.0013698630136986301,0.8888888888888888,0,1
0,0,0,0,0,0.0,0.07407407407407407,50,54,0,4,0,54,0,0,0,False,4.0,7,False,False,False,False,2,3,1,4.5,13.672727272727276,5.26,11,43,44,-1,0,289,447,11,11,-1,-1,61,97,-1,-1,-1,-1,0.875,0,1
0,0,0,1,0,0.0,0.1702127659574468,39,47,0,8,0,47,0,0,0,False,3.8,6,False,False,False,True,0,1,1,4.0,6.0,3.86,10,57,38,-1,0,304,67,14,12,-1,-1,80,16,-1,-1,-1,-1,0.5384615384615384,1,1
0,0,1,0,0,2.65,0.0,40,40,106,0,0,40,0,0,0,False,4.857142857142857,7,False,False,False,False,0,1,1,2.5,10.514285714285714,8.24,7,52,34,92,0,-1,1747,13,7,15,-1,-1,358,-1,-1,-1,-1,0.8888888888888888,1,1
0,0,0,1,0,1.896103896103896,0.025974025974025976,75,77,146,2,0,77,0,0,0,False,4.571428571428571,9,False,False,False,False,0,2,1,5.5,16.171428571428574,8.63,14,76,64,124,0,96,2743,15,14,23,-1,18,563,-1,-1,-1,-1,0.8571428571428571,0,1
0,0,0,0,0,2.6097560975609757,0.024390243902439025,40,41,107,1,0,41,0,0,0,False,4.25,6,False,False,False,True,0,0,0,3.0,10.200000000000001,5.0,8,21,34,90,0,14,2502,5,8,18,-1,3,542,-1,-1,-1,-1,0.8,0,0
0,0,0,0,0,1.7922077922077921,0.4025974025974026,46,-45,138,31,122,77,1,0,0,False,6.090909090909091,10,False,False,False,False,0,0,0,4.0,28.218181818181815,16.86,11,95,67,119,99,2385,8611,16,11,20,10,454,1703,0.0,0.0,0.011494252873563218,0.014583333333333334,0.6,0,0
0,0,0,0,0,3.0377358490566038,5.6415094339622645,-246,-7,161,299,60,53,0,1,0,False,3.909090909090909,7,False,False,False,False,0,1,5,4.5,14.0,6.18,10,99,43,136,45,33405,-1,18,10,25,11,6063,-1,0.0,0.0,0.0,-1,0.3333333333333333,4,1
0,0,0,0,0,0.0,0.2222222222222222,49,63,0,14,0,63,0,1,0,False,4.818181818181818,13,False,False,False,False,0,0,1,5.5,23.37777777777778,15.11,9,44,53,-1,0,239,-1,7,9,-1,-1,48,-1,-1,-1,-1,-1,0.4,1,0
0,0,0,0,0,1.9841269841269842,0.31746031746031744,43,-3,125,20,66,63,0,1,0,False,4.818181818181818,7,False,False,False,False,0,1,2,4.5,13.672727272727276,9.49,11,53,53,103,53,874,2670,11,11,20,9,180,547,0.14285714285714285,0.0,0.009950248756218905,0.027375201288244767,0.9,0,1
0,0,0,0,0,3.1020408163265305,0.0,49,-145,152,0,194,49,1,0,0,False,6.142857142857143,9,False,False,False,False,0,0,0,2.5,27.65714285714286,15.67,7,45,43,127,168,-1,220,8,7,26,26,-1,45,0.0,0.0,-1,0.0,0.75,0,0
0,0,1,0,1,1.5446428571428572,0.008928571428571428,111,80,173,1,32,112,0,0,1,False,4.947368421052632,8,False,False,False,False,0,3,10,8.5,20.126315789473683,11.43,19,98,94,145,26,18,1145,19,19,29,3,1,244,1.7272727272727273,2.0,6.0,1.9083969465648856,0.625,1,0
0,0,0,0,0,4.777777777777778,0.0,63,63,301,0,0,63,0,0,0,False,4.818181818181818,10,False,False,False,True,0,0,3,5.0,17.30909090909091,9.49,11,93,53,248,0,-1,5544,23,11,53,-1,-1,1281,-1,-1,-1,-1,0.7777777777777778,1,1
0,0,0,0,0,39.0,0.0,4,4,156,0,0,4,0,0,0,False,4.0,4,False,False,False,False,0,0,2,-0.5,2.4000000000000004,-22.21,1,96,4,133,0,-1,-1,20,1,24,-1,-1,-1,-1,-1,-1,-1,0.7222222222222222,1,1
0,0,0,0,0,2.489795918367347,0.0,49,-22,122,0,71,49,0,1,0,False,4.555555555555555,12,False,False,False,False,0,0,1,2.5,10.044444444444444,7.39,9,41,41,103,59,-1,848,9,9,21,10,-1,189,0.09090909090909091,0.047619047619047616,-1,0.0196078431372549,0.8571428571428571,0,0
0,0,0,1,0,2.3461538461538463,0.0,78,49,183,0,29,78,0,0,0,False,5.076923076923077,8,False,False,False,False,5,8,7,5.5,22.58461538461539,11.3,13,80,66,145,25,-1,2306,15,13,36,3,-1,474,0.0,0.0,-1,0.0035149384885764497,0.6666666666666666,0,1
0,0,0,0,1,2.1538461538461537,0.0,65,65,140,0,0,65,0,0,1,False,4.5,8,False,False,False,False,0,3,2,5.0,16.8,7.93,12,54,54,119,0,-1,2585,12,16,22,-1,-1,520,-1,-1,-1,-1,0.8181818181818182,0,1
0,0,0,0,0,0.0,0.0,29,29,0,0,0,29,0,0,0,False,6.25,9,False,False,False,False,0,0,2,0.5,43.2,22.75,3,79,25,-1,0,-1,42,16,3,-1,-1,-1,7,-1,-1,-1,-1,0.6,1,1
