@RELATION clickbait_sample

@ATTRIBUTE "word count" NUMERIC
@ATTRIBUTE "average word length" NUMERIC
@ATTRIBUTE "length of the longest word" NUMERIC
@ATTRIBUTE "whether start with number" {True, False}
@ATTRIBUTE "whether start with who/what/why/where/when/how" {True, False}
@ATTRIBUTE label {0, 1}

@DATA
13,4.538461538461538,12,False,True,0
10,4.1,6,True,False,1
16,3.625,7,False,False,0
18,4.611111111111111,8,False,False,0
5,6.4,10,False,False,0
11,4.090909090909091,8,False,False,0
20,4.2,11,False,False,0
14,4.428571428571429,12,False,False,1
2,1.5,2,False,False,1
11,5.181818181818182,11,False,False,0
14,5.5,17,False,False,0
17,4.705882352941177,14,False,False,0
18,4.277777777777778,11,False,False,0
18,4.333333333333333,13,False,False,0
14,3.5,9,False,False,0
14,4.0,11,False,False,0
31,3.0,7,False,False,0
16,4.1875,16,False,False,0
16,6.0,11,False,False,0
16,4.375,9,False,False,0
8,3.375,7,False,False,0
11,4.818181818181818,8,True,False,1
13,4.384615384615385,10,False,False,0
19,4.421052631578948,11,False,False,0
10,3.8,8,False,False,1
10,6.5,11,False,False,0
16,4.25,9,False,False,0
15,5.466666666666667,9,False,False,1
13,6.0,12,False,False,0
11,5.2727272727272725,7,False,False,0
12,5.416666666666667,10,False,False,0
9,6.888888888888889,14,False,False,0
10,5.3,10,False,False,1
15,4.666666666666667,10,False,False,0
15,3.6,9,False,False,0
2,2.5,4,False,False,1
9,5.555555555555555,14,True,False,0
2,4.5,8,False,False,1
16,4.3125,8,False,False,1
15,4.8,13,False,False,0
18,3.5555555555555554,9,False,False,1
15,4.066666666666666,16,False,False,0
13,4.230769230769231,9,False,False,0
19,3.3684210526315788,6,False,False,1
9,5.666666666666667,13,False,False,0
16,3.9375,9,False,False,0
12,4.75,10,False,False,0
21,4.380952380952381,9,False,False,0
14,4.642857142857143,8,False,False,0
13,6.076923076923077,13,False,False,0
11,4.454545454545454,9,False,False,0
16,3.5,11,False,False,0
14,5.0,13,False,False,0
4,4.0,6,False,False,1
12,6.416666666666667,11,False,True,1
9,3.888888888888889,11,False,True,1
21,4.0,12,False,False,0
21,4.619047619047619,12,False,False,0
16,2.9375,6,False,False,1
14,5.285714285714286,12,False,False,1
13,6.3076923076923075,10,False,False,0
10,4.0,5,False,False,1
9,5.555555555555555,10,False,False,0
14,4.785714285714286,10,False,False,0
17,4.352941176470588,11,False,False,0
17,4.470588235294118,9,False,False,0
16,5.0625,13,False,False,0
13,2.923076923076923,7,False,False,0
12,4.583333333333333,12,False,False,0
15,5.266666666666667,10,False,False,0
16,3.125,7,False,False,0
11,5.909090909090909,11,False,False,0
16,6.1875,13,False,False,0
19,4.0,9,False,False,0
9,4.777777777777778,8,False,False,0
18,3.5,7,False,False,0
17,3.588235294117647,10,False,False,1
8,4.875,10,False,False,0
12,6.5,11,False,False,0
11,4.636363636363637,10,False,False,0
14,4.857142857142857,13,False,True,0
13,3.5384615384615383,7,False,False,1
12,4.583333333333333,11,False,False,1
10,5.0,9,False,False,0
12,5.0,11,False,False,0
20,3.6,13,False,False,0
13,5.076923076923077,8,False,False,0
10,5.0,8,False,False,0
18,4.333333333333333,8,False,False,0
15,4.466666666666667,12,False,False,0
10,5.7,9,False,False,0
18,4.277777777777778,10,False,False,0
5,4.0,8,False,False,1
1,1.0,1,False,False,1
13,4.076923076923077,7,False,False,0
9,4.777777777777778,10,False,False,0
20,3.45,10,False,False,0
9,5.111111111111111,9,False,False,0
18,4.277777777777778,11,False,False,0
23,3.6956521739130435,7,False,False,0
15,5.0,12,False,False,0
13,4.6923076923076925,9,False,False,0
12,4.583333333333333,10,False,False,0
3,5.0,7,False,False,1
12,3.4166666666666665,7,False,False,0
13,4.461538461538462,8,False,False,0
15,4.2,13,False,False,1
16,4.125,8,False,False,0
7,4.857142857142857,10,False,False,0
16,3.8125,11,False,False,1
8,5.125,8,False,False,0
10,3.8,8,False,True,1
23,4.217391304347826,11,False,False,0
13,5.846153846153846,10,False,False,0
11,5.2727272727272725,10,False,False,1
14,4.857142857142857,10,False,False,0
10,4.9,8,False,False,0
23,4.217391304347826,11,False,False,0
16,4.625,9,False,False,1
11,4.363636363636363,8,False,False,0
2,5.5,10,False,False,1
10,5.1,9,False,False,0
14,4.0,10,False,False,1
13,4.6923076923076925,9,False,False,0
20,4.5,9,False,False,0
15,4.133333333333334,9,True,False,0
14,4.928571428571429,11,False,False,1
13,4.615384615384615,8,False,False,0
12,5.083333333333333,10,False,False,1
13,5.384615384615385,14,False,False,0
10,4.6,10,False,False,1
26,3.576923076923077,8,False,False,1
11,4.545454545454546,9,False,False,1
9,5.111111111111111,7,False,False,0
11,5.0,8,False,False,0
20,2.95,8,False,False,0
13,4.615384615384615,10,False,False,1
17,4.470588235294118,11,False,False,0
11,5.0,8,False,True,1
11,4.7272727272727275,10,False,False,0
18,4.111111111111111,7,False,False,0
16,4.0625,8,False,False,0
12,5.0,14,False,False,0
10,6.1,16,False,False,0
17,4.176470588235294,8,False,False,0
17,4.352941176470588,8,False,False,0
22,4.318181818181818,10,False,False,0
18,4.444444444444445,10,False,False,0
11,5.454545454545454,11,False,False,0
12,5.166666666666667,13,False,False,0
14,4.5,8,False,False,0
13,4.461538461538462,8,False,False,0
13,4.769230769230769,9,False,False,0
11,4.181818181818182,8,False,False,0
26,4.8076923076923075,13,False,False,0
18,3.5555555555555554,6,False,False,0
9,5.111111111111111,11,False,False,1
12,6.0,9,False,False,0
14,4.071428571428571,8,False,False,0
7,4.571428571428571,13,False,False,1
17,4.9411764705882355,11,False,False,0
12,5.166666666666667,9,False,False,0
14,4.571428571428571,9,False,False,0
20,4.8,12,False,False,0
22,3.9545454545454546,15,False,False,0
12,4.666666666666667,8,False,False,0
11,4.545454545454546,9,False,False,0
13,5.3076923076923075,10,False,False,1
24,3.4583333333333335,14,False,False,0
11,4.909090909090909,11,False,False,0
13,6.615384615384615,14,False,False,0
12,5.666666666666667,10,False,False,0
11,4.545454545454546,8,False,False,0
10,5.7,11,False,False,0
16,5.5,12,False,False,0
10,4.6,9,False,False,0
11,5.7272727272727275,11,True,False,1
13,4.461538461538462,14,False,False,0
22,4.5,11,False,False,1
14,5.357142857142857,14,False,False,0
18,4.5,9,False,False,0
13,3.8461538461538463,9,False,False,0
23,3.6956521739130435,13,False,False,0
14,5.142857142857143,11,False,False,0
13,4.076923076923077,9,False,False,0
12,4.75,8,False,False,0
13,4.230769230769231,8,False,False,0
18,4.222222222222222,11,False,False,1
22,4.181818181818182,8,False,False,0
14,4.285714285714286,9,False,False,1
6,6.166666666666667,11,False,False,0
12,5.333333333333333,10,False,False,0
12,4.583333333333333,9,False,False,0
15,4.133333333333334,9,False,False,0
15,4.066666666666666,9,False,False,0
9,4.888888888888889,15,False,False,0
20,3.45,9,False,False,0
21,4.666666666666667,11,False,False,0
17,4.0588235294117645,8,False,False,0
10,6.1,12,False,False,0
16,4.625,13,False,False,0
19,4.052631578947368,10,False,False,0
13,3.3076923076923075,7,False,False,0
21,4.714285714285714,15,False,True,0
11,4.909090909090909,8,False,False,0
20,4.65,12,False,False,0
14,4.857142857142857,8,False,False,0
9,5.111111111111111,9,False,False,0
12,4.333333333333333,10,False,False,0
6,4.5,7,False,False,1
14,4.5,11,False,False,1
